cast,crew,date,link,playwright,playwright_formatted,playwright_formatted_long,poster_thumb_tag,run,season,title,type,venue,year_title
NA,NA,NA,/years/09_10/dracula/,Bram Stoker,by Bram Stoker,by Bram Stoker; Adapted by Hamilton Deane,NA,2009-10 (Dates Unknown),Postgrads,Dracula,show,New Theatre,2009-10
Tommo Fowler/Dan Rae-Scott/Stephanie Soh/James Lovell/Liz Stevens/Jonny Fitzpatrick/Bryony Blackler/,Cesar Teixeira/Kathryn Feavers/Lawrence Bolton/,2010-03-29,/years/09_10/excess/,Cesar Texeira,by Cesar Texeira,by Cesar Texeira,<a href='/years/09_10/excess/'><img src='https://photos.smugmug.com/photos/i-9wjW4hX/0/0e7d4a9d/128x162/i-9wjW4hX-128x162.jpg' class='search-result-poster-thumb' alt='Excess poster' /></a>,29 March-1 April 2010,In House,Excess,show,New Theatre,2009-10
NA,Emma Rutherford/,2009-10-16,/years/09_10/freshers_fringe/,null,Various Writers,Various Writers,<a href='/years/09_10/freshers_fringe/'><img src='https://photos.smugmug.com/photos/i-MLPNtzF/0/236327fa/128x162/i-MLPNtzF-128x162.jpg' class='search-result-poster-thumb' alt='Freshers' Fringe poster' /></a>,16-17 October 2009,In House,Freshers' Fringe,show,New Theatre,2009-10
Cem Aytacli/Lauren Grant/Florian Goebel/Will Vickers/Douggie McMeekin/Alanna Southgate/Oliver Margolis/Chloe Keedy/Topher Collins/Paul Whickman/Rose Eccleshare/Amy Rushton/Peter Cary/Conrad Cohen/Andrew Kennedy/Lucien Jack/,Hatty Preston/Libby Galvin/Philip Geller/Matt Leventhall/Angus MacRae/Emma Rutherford/,2009-11-25,/years/09_10/ghetto/,Joshua Sobol,by Joshua Sobol,by Joshua Sobol,<a href='/years/09_10/ghetto/'><img src='https://photos.smugmug.com/photos/i-KG7MmgG/0/119e931d/128x162/i-KG7MmgG-128x162.jpg' class='search-result-poster-thumb' alt='Ghetto poster' /></a>,25-28 November 2009,In House,Ghetto,show,New Theatre,2009-10
James Lewis/Tom Walsh/Rupert Bradshaw/Ben Mellor/James Torrance/Dave Maggs/Adam H. Wells/Anna Wheatley/Jenni Herzberg/Amelia O'Shea/Grace Rowland/Mathilda Holland/,Dan Rae-Scott/Emily Adams/Nicci Samuels/,2009-12-08,/years/09_10/hamlet/,William Shakespeare,by William Shakespeare,by William Shakespeare,<a href='/years/09_10/hamlet/'><img src='https://photos.smugmug.com/photos/i-JKqTV85/0/2a95cab4/128x162/i-JKqTV85-128x162.jpg' class='search-result-poster-thumb' alt='Hamlet poster' /></a>,8-11 December 2009,In House,Hamlet,show,New Theatre,2009-10
Ben Cave/Flo Hapgood/James Townsend/James McAndrew/Abi Byrne/Hannah Dale/Sophie Griffiths/Rhys Williamson/Amy Rushton/Tom Walsh/Emma Begg/Kristen McGachey/Matt Wilks/Elin Stenner-Matthews/,Conrad Cohen/Rachel Feeney/,2010-06-09,/years/09_10/his_lordship_entertains/,Ronnie Barker,by Ronnie Barker,by Ronnie Barker,<a href='/years/09_10/his_lordship_entertains/'><img src='https://photos.smugmug.com/photos/i-vf2VHh6/0/134d7db9/128x162/i-vf2VHh6-128x162.jpg' class='search-result-poster-thumb' alt='His Lordship Entertains poster' /></a>,9-12 June 2010,In House,His Lordship Entertains,show,New Theatre,2009-10
Lauren Grant/,Lizzie Bourne/Angus MacRae/,2010-08-06,/years/09_10/only_one_wing/,null,Playwright Unknown,Playwright Unknown,<a href='/years/09_10/only_one_wing/'><img src='https://photos.smugmug.com/photos/i-nvbNwm5/0/a130c140/128x162/i-nvbNwm5-128x162.jpg' class='search-result-poster-thumb' alt='Only One Wing poster' /></a>,6-21 August 2010,Edinburgh,Only One Wing,show,The Zoo,2009-10
Fran Rylands/Harry MacDonald/Lauren Grant/Claire Horn/Topher Collins/,Stephen Irvine/Lawrence Bolton/Kathryn Feavers/Rose Eccleshare/,2010-02-24,/years/09_10/our_town/,Thornton Wilder,by Thornton Wilder,by Thornton Wilder,<a href='/years/09_10/our_town/'><img src='https://photos.smugmug.com/photos/i-m8gPPWR/0/04d4fe1f/128x162/i-m8gPPWR-128x162.jpg' class='search-result-poster-thumb' alt='Our Town poster' /></a>,24-27 February 2010,In House,Our Town,show,New Theatre,2009-10
Adam Wood/Sophie Sandham/Tim Watkins/Sam Pearce/George Bancroft-Livingston/Anna Sheriff/Liz Stevenson/Chris Walters/Rob Orme/Nell Charleston/Simon Peal/Elsa Harriskine/Laura Wishart/,Andy McNamee/Jess Conway/Matt Leventhall/Gus Miller/Charlotte Wright/Philip Geller/Matt Leventhall/James Herbert/Lucy Dove/Angus MacRae/Emily O'Dwyer/Philip Geller/Matt Leventhall/Vickie Vukelic/,2009-12-02,/years/09_10/rhinoceros/,Eugène Ionesco,by Eugène Ionesco,by Eugène Ionesco,<a href='/years/09_10/rhinoceros/'><img src='https://photos.smugmug.com/photos/i-hCsDcnX/0/bb4439d9/128x162/i-hCsDcnX-128x162.jpg' class='search-result-poster-thumb' alt='Rhinoceros poster' /></a>,2-5 December 2009,In House,Rhinoceros,show,New Theatre,2009-10
Chris Walters/Ben Mellor/,Liz Stevenson/Rose Williams/Philip Geller/Bora Hunja/,2010-03-17,/years/09_10/road/,Jim Cartwright,by Jim Cartwright,by Jim Cartwright,<a href='/years/09_10/road/'><img src='https://photos.smugmug.com/photos/i-8QFkVcv/0/ea25a9c1/128x162/i-8QFkVcv-128x162.jpg' class='search-result-poster-thumb' alt='Road poster' /></a>,17-20 March 2010,In House,Road,show,New Theatre,2009-10
Emma Rutherford/,NA,2010-02-11,/years/09_10/strictly_come_stars_in_their_eyes_on_ice/,null,Playwright Unknown,Playwright Unknown,<a href='/years/09_10/strictly_come_stars_in_their_eyes_on_ice/'><img src='https://photos.smugmug.com/photos/i-GJ6HbfX/0/9fd3d42f/128x162/i-GJ6HbfX-128x162.jpg' class='search-result-poster-thumb' alt='Strictly Come Stars In Their Eyes On Ice poster' /></a>,11-13 February 2010,External,Strictly Come Stars In Their Eyes On Ice,show,New Theatre,2009-10
Hassan Govia/Tom Burke/Amanda Chacksfield/Pete Allott/,Fu Baxter/Zoe Sharp/,2009-11-18,/years/09_10/the_bacchae/,Euripides,by Euripides,by Euripides,<a href='/years/09_10/the_bacchae/'><img src='https://photos.smugmug.com/photos/i-ZQZFVLF/0/e6ec7f63/128x162/i-ZQZFVLF-128x162.jpg' class='search-result-poster-thumb' alt='The Bacchae poster' /></a>,18-21 November 2009,In House,The Bacchae,show,New Theatre,2009-10
Ben Cave/Lizzie Bourne/Meg Salter/,Rebecca Catlin/Sophia Levine/James Herbert/Philip Geller/Philip Geller/Matt Leventhall/,2009-10-28,/years/09_10/the_country/,Martin Crimp,by Martin Crimp,by Martin Crimp,<a href='/years/09_10/the_country/'><img src='https://photos.smugmug.com/photos/i-qqMpFcB/0/f65c5b1b/128x162/i-qqMpFcB-128x162.jpg' class='search-result-poster-thumb' alt='The Country poster' /></a>,28-31 October 2009,In House,The Country,show,New Theatre,2009-10
NA,NA,2010-05-19,/years/09_10/the_fire_rasers/,Max Frisch,by Max Frisch,by Max Frisch,<a href='/years/09_10/the_fire_rasers/'><img src='https://photos.smugmug.com/photos/i-Ps4w45S/0/a081f4ab/128x162/i-Ps4w45S-128x162.jpg' class='search-result-poster-thumb' alt='The Fire Raisers poster' /></a>,19-22 May 2010,Postgrads,The Fire Raisers,show,New Theatre,2009-10
Simon Foster/David Cornish/Natalie Barclay/Laura Kaye Thomson/Lucy Butler/Robert Jones/Fran Rylands/James Townsend/,Tommo Fowler/Nicci Samuels/Philip Geller/Emily O'Dwyer/Lottie Hiscox/Mark Loach/Cordelia Bradley/Tim Watkins/,2009-11-11,/years/09_10/the_importance_of_being_earnest/,Oscar Wilde,by Oscar Wilde,by Oscar Wilde,<a href='/years/09_10/the_importance_of_being_earnest/'><img src='https://photos.smugmug.com/photos/i-KXPJ82V/1/fc918fef/128x162/i-KXPJ82V-128x162.jpg' class='search-result-poster-thumb' alt='The Importance of Being Earnest poster' /></a>,11-14 November 2009,In House,The Importance of Being Earnest,show,New Theatre,2009-10
James Lewis/Dan Downes/Laura Kaye Thomson/Nell Charleston/,Stephen Irvine/Lauren Grant/Pete Allott/,2010-06-14,/years/09_10/the_last_5_years/,null,Playwright Unknown,Playwright Unknown,<a href='/years/09_10/the_last_5_years/'><img src='https://photos.smugmug.com/photos/i-N8kFx8V/0/33bbcc29/128x162/i-N8kFx8V-128x162.jpg' class='search-result-poster-thumb' alt='The Last 5 Years poster' /></a>,14-17 June 2010,External,The Last 5 Years,show,New Theatre,2009-10
Eleanor Charleston/Tim Watkins/Amelia O'Shea/Emma Rutherford/Lara Money/Jack Hughes/Stephanie Markham/Harriet Ryley/Tom Burke/Adam H. Wells/,Sophie Watson/Charlotte Wright/,2010-03-10,/years/09_10/the_love_of_the_nightingale/,Timberlake Wertenbaker,by Timberlake Wertenbaker,by Timberlake Wertenbaker,<a href='/years/09_10/the_love_of_the_nightingale/'><img src='https://photos.smugmug.com/photos/i-QqzRSBg/0/724d8341/128x162/i-QqzRSBg-128x162.jpg' class='search-result-poster-thumb' alt='The Love of the Nightingale poster' /></a>,10-13 March 2010,In House,The Love of the Nightingale,show,New Theatre,2009-10
James Lewis/Cem Aytacli/James Torrance/Neil Joseph/Rosie Tressler/Laura Wishart/Simon Peal/Simon Foster/David Cornish/George Bancroft-Livingston/Joshua Cohn-Burrows/Revilo Silogram/Jonathan Kogan/,Oliver Margolis/Ellie Buck/Matt Leventhall/Philip Geller/Nicci Samuels/Lawrence Bolton/Matt Leventhall/Jenny Mann/Kathryn Feavers/Kate Margolis/,2010-05-05,/years/09_10/the_real_inspector_hound/,Tom Stoppard,by Tom Stoppard,by Tom Stoppard,<a href='/years/09_10/the_real_inspector_hound/'><img src='https://photos.smugmug.com/photos/i-Lr5srb9/0/03f04bd8/128x162/i-Lr5srb9-128x162.jpg' class='search-result-poster-thumb' alt='The Real Inspector Hound poster' /></a>,5-8 May 2010,In House,The Real Inspector Hound,show,New Theatre,2009-10
Sam Pearce/Peter Cary/Amy Rushton/Jamie Munro/,Rebecca Catlin/,2010-08-06,/years/09_10/the_retreat/,Jenni Herzberg,by Jenni Herzberg,by Jenni Herzberg,<a href='/years/09_10/the_retreat/'><img src='https://photos.smugmug.com/photos/i-LdgBZv3/0/27f01349/128x162/i-LdgBZv3-128x162.jpg' class='search-result-poster-thumb' alt='The Retreat poster' /></a>,6-21 August 2010,Edinburgh,The Retreat,show,The Zoo,2009-10
Hatty Preston/David Cornish/Lizzie Bourne/George Bancroft-Livingston/,Gus Miller/Anna Morley/Fran Rylands/Angus MacRae/Matt Leventhall/,2010-03-24,/years/09_10/the_shape_of_things/,Neil Lapute,by Neil Lapute,by Neil Lapute,<a href='/years/09_10/the_shape_of_things/'><img src='https://photos.smugmug.com/photos/i-hN3JBTH/0/4964067a/128x162/i-hN3JBTH-128x162.jpg' class='search-result-poster-thumb' alt='The Shape of Things poster' /></a>,24-27 March 2010,In House,The Shape of Things,show,New Theatre,2009-10
Will Vickers/Meg Salter/,Andy McNamee/Jess Conway/Matt Leventhall/James Herbert/Philip Geller/Matt Leventhall/Angus MacRae/Tim Watkins/Philip Geller/,2010-05-12,/years/09_10/the_small_things/,Enda Walsh,by Enda Walsh,by Enda Walsh,<a href='/years/09_10/the_small_things/'><img src='https://photos.smugmug.com/photos/i-MmrPGft/0/d64ddb28/128x162/i-MmrPGft-128x162.jpg' class='search-result-poster-thumb' alt='The Small Things poster' /></a>,12-15 May 2010,In House,The Small Things,show,New Theatre,2009-10
Adam Wood/Douggie McMeekin/Ollie Silver/Jenni Herzberg/Dave Maggs/,Rebecca Catlin/Liz Rose/James Herbert/Philip Geller/Philip Geller/Matt Leventhall/Nicci Samuels/,2010-02-17,/years/09_10/the_winterling/,Jez Butterworth,by Jez Butterworth,by Jez Butterworth,<a href='/years/09_10/the_winterling/'><img src='https://photos.smugmug.com/photos/i-pBP48xc/0/6fdcc176/128x162/i-pBP48xc-128x162.jpg' class='search-result-poster-thumb' alt='The Winterling poster' /></a>,17-20 February 2010,In House,The Winterling,show,New Theatre,2009-10
NA,NA,NA,/years/10_11/a_day_in_the_life/,null,Playwright Unknown,Playwright Unknown,NA,2010-11 (Dates Unknown),External,A Day In The Life,show,New Theatre,2010-11
Will Randall/Ben Williamson/Lee Shipman/Hugh Williams/Jacek Zmarz/Ajay Stevenson/Natalie Barclay/Lucy Dollman/Hollie Stoker/Claire Harley/,Nick Hughes/James Lovell/Lawrence Bolton/Emma-Louise Amanshia/Jess Courtney/Emily Zinkin/Roger Smissen/Peter Bradley/,2011-03-16,/years/10_11/a_view_from_the_bridge/,Arthur Miller,by Arthur Miller,by Arthur Miller,<a href='/years/10_11/a_view_from_the_bridge/'><img src='https://photos.smugmug.com/photos/i-2svCk98/0/ef7d0a14/128x162/i-2svCk98-128x162.jpg' class='search-result-poster-thumb' alt='A View From The Bridge poster' /></a>,16-19 March 2011,In House,A View From The Bridge,show,New Theatre,2010-11
Chris Walters/Flo Hapgood/,Gus Miller/Adna Duherich/Philip Geller/Angus MacRae/Peter Bradley/Jess Courtney/Emma-Louise Amanshia/Aneira Pugh/Emily Heaton/,2011-03-02,/years/10_11/after_the_end/,Dennis Kelly,by Dennis Kelly,by Dennis Kelly,<a href='/years/10_11/after_the_end/'><img src='https://photos.smugmug.com/photos/i-vxcj9V3/0/51138b77/128x162/i-vxcj9V3-128x162.jpg' class='search-result-poster-thumb' alt='After the End poster' /></a>,2-5 March 2011,In House,After the End,show,New Theatre,2010-11
Dan Rae-Scott/Lauren Grant/Adam H. Wells/Jonny Fitzpatrick/James Lovell/Rose Eccleshare/Sam Hayward/Nell Charleston/Topher Collins/Grace Rowland/Henry Blanchard/Emily Zinkin/,Tim Watkins/Kathryn Feavers/Matt Leventhall/Philip Geller/Ellie Badger/Rose Williams/Francesca Andrews/Ed Denham/,2010-11-24,/years/10_11/arcadia/,Tom Stoppard,by Tom Stoppard,by Tom Stoppard,<a href='/years/10_11/arcadia/'><img src='https://photos.smugmug.com/photos/i-ccGfchq/0/b968409e/128x162/i-ccGfchq-128x162.jpg' class='search-result-poster-thumb' alt='Arcadia poster' /></a>,24-27 November 2010,In House,Arcadia,show,New Theatre,2010-11
Will Randall/Rose Eccleshare/Ellie Cawthorne/George Bancroft-Livingston/Meg Salter/Rose Williams/Francesca Andrews/Max Benenson/Tim Watkins/,Liz Stevenson/Liz Rose/,2011-08-03,/years/10_11/beef/,Rose Williams,by Rose Williams,by Rose Williams,<a href='/years/10_11/beef/'><img src='https://photos.smugmug.com/photos/i-fDGJ9M5/0/ef413f7a/128x162/i-fDGJ9M5-128x162.jpg' class='search-result-poster-thumb' alt='Beef poster' /></a>,3-29 August 2011,Edinburgh,Beef,show,C soco,2010-11
Cem Aytacli/Alanna Southgate/James Lainchbury/Hugh Williams/Rosanna Stoker/Lucy Bromilow/,Rebecca Catlin/Liz Rose/James Herbert/Philip Geller/Dan Rae-Scott/,2010-11-17,/years/10_11/bluebird/,Simon Stephens,by Simon Stephens,by Simon Stephens,<a href='/years/10_11/bluebird/'><img src='https://photos.smugmug.com/photos/i-ZncfGv3/0/bf41b77c/128x162/i-ZncfGv3-128x162.jpg' class='search-result-poster-thumb' alt='Bluebird poster' /></a>,17-20 November 2010,In House,Bluebird,show,New Theatre,2010-11
NA,NA,2011-05-28,/years/10_11/bright_ideas_an_evening_of_new_writing/,null,Playwright Unknown,Playwright Unknown,<a href='/years/10_11/bright_ideas_an_evening_of_new_writing/'><img src='https://photos.smugmug.com/photos/i-rPNkCD3/0/4c8df195/128x162/i-rPNkCD3-128x162.jpg' class='search-result-poster-thumb' alt='Bright Ideas - An Evening of New Writing poster' /></a>,28-28 May 2011,Fundraiser,Bright Ideas - An Evening of New Writing,show,New Theatre,2010-11
Greg Fahey/Liz Stevens/Conrad Cohen/Natalie Barclay/Robert Leventhall/Emily Davenport/William Warren/Abi Byrne/Pete Allott/,Dan Downes/Adna Duherich/,2010-11-03,/years/10_11/caucasian_chalk_circle/,Bertolt Brecht,by Bertolt Brecht,by Bertolt Brecht,<a href='/years/10_11/caucasian_chalk_circle/'><img src='https://photos.smugmug.com/photos/i-rGHnv93/0/d8b88a8d/128x162/i-rGHnv93-128x162.jpg' class='search-result-poster-thumb' alt='Caucasian Chalk Circle poster' /></a>,3-6 November 2010,In House,Caucasian Chalk Circle,show,New Theatre,2010-11
Tom Walsh/Rebecca Catlin/Hannah Dale/Ben Cave/Laura Kaye Thomson/James McAndrew/,Adam H. Wells/,2011-08-03,/years/10_11/chasing_dragons/,Adam H. Wells,by Adam H. Wells,by Adam H. Wells,<a href='/years/10_11/chasing_dragons/'><img src='https://photos.smugmug.com/photos/i-DF9fsRr/0/c146650b/128x162/i-DF9fsRr-128x162.jpg' class='search-result-poster-thumb' alt='Chasing Dragons poster' /></a>,3-29 August 2011,Edinburgh,Chasing Dragons,show,C soco,2010-11
Christey Nethercott/James Bentley/Ellie Cawthorne/Henry Blanchard/,Charlotte Wright/Sophie Watson/,2011-03-09,/years/10_11/cradle_me/,Simon Vinnicombe,by Simon Vinnicombe,by Simon Vinnicombe,<a href='/years/10_11/cradle_me/'><img src='https://photos.smugmug.com/photos/i-FtsCrs8/0/1a08b970/128x162/i-FtsCrs8-128x162.jpg' class='search-result-poster-thumb' alt='Cradle Me poster' /></a>,9-12 March 2011,In House,Cradle Me,show,New Theatre,2010-11
Conrad Cohen/Lauren Grant/Rupert Bradshaw/Laurence Jennings/Ed Gilbert/Grace Rowland/,Adam H. Wells/Kathryn Feavers/,2011-02-16,/years/10_11/deus_vult/,Adam H. Wells,by Adam H. Wells,by Adam H. Wells,<a href='/years/10_11/deus_vult/'><img src='https://photos.smugmug.com/photos/i-jc46gNp/0/e51c55d1/128x162/i-jc46gNp-128x162.jpg' class='search-result-poster-thumb' alt='Deus Vult poster' /></a>,16-19 February 2011,In House,Deus Vult,show,New Theatre,2010-11
NA,NA,2010-01-19,/years/10_11/en_vogue/,null,Playwright Unknown,Playwright Unknown,<a href='/years/10_11/en_vogue/'><img src='https://photos.smugmug.com/photos/i-kmMck6L/0/7c072068/128x162/i-kmMck6L-128x162.jpg' class='search-result-poster-thumb' alt='En Vogue poster' /></a>,19-22 January 2010,Postgrads,En Vogue,show,New Theatre,2010-11
Laura Kaye Thomson/Katie Barry/James Bentley/Matt Miller/James McAndrew/Peter Cary/Christey Nethercott/Tegan Jolly/Jono Lake/Alex Hollingsworth/,Gus Miller/James Townsend/Fran Rylands/Conrad Cohen/Angus MacRae/Lawrence Bolton/James Herbert/Bora Hunja/Robert Leventhall/,2010-12-07,/years/10_11/flare_path/,Terence Rattigan,by Terence Rattigan,by Terence Rattigan,<a href='/years/10_11/flare_path/'><img src='https://photos.smugmug.com/photos/i-t8JQn67/0/7531d299/128x162/i-t8JQn67-128x162.jpg' class='search-result-poster-thumb' alt='Flare Path poster' /></a>,7-10 December 2010,In House,Flare Path,show,New Theatre,2010-11
NA,NA,2010-10-15,/years/10_11/freshers_fringe/,null,Various Writers,Various Writers,<a href='/years/10_11/freshers_fringe/'><img src='https://photos.smugmug.com/photos/i-QFwRLdn/0/4579f44a/128x162/i-QFwRLdn-128x162.jpg' class='search-result-poster-thumb' alt='Freshers' Fringe poster' /></a>,15-16 October 2010,In House,Freshers' Fringe,show,New Theatre,2010-11
Flo Hapgood/Max Grant/Emma Begg/Matt Wilks/Sean Jones/Rachel Webb/Alix Hattenstone/,Charlotte Wright/Sophie Watson/,2010-10-20,/years/10_11/hedda_gabler/,Henrik Ibsen,by Henrik Ibsen,by Henrik Ibsen,<a href='/years/10_11/hedda_gabler/'><img src='https://photos.smugmug.com/photos/i-NPqzTXM/0/5fb40a38/128x162/i-NPqzTXM-128x162.jpg' class='search-result-poster-thumb' alt='Hedda Gabler poster' /></a>,20-23 October 2010,In House,Hedda Gabler,show,New Theatre,2010-11
Natalie Barclay/Ben Cave/Jess Courtney/Matt Cowen/David Edgcumbe/Freddie Garnett/Gus Miller/Liz Rose/Liz Stevenson/,NA,2011-06-03,/years/10_11/holy_matrimony/,null,Devised,Devised,<a href='/years/10_11/holy_matrimony/'><img src='https://photos.smugmug.com/photos/i-b8S3kr5/0/f4846161/128x162/i-b8S3kr5-128x162.jpg' class='search-result-poster-thumb' alt='Holy Matrimony! poster' /></a>,3 June 2011,Fundraiser,Holy Matrimony!,show,New Theatre,2010-11
Sam Warren/Jonny Fitzpatrick/Sam Hayward/Sean Jones/,Matt Wilks/Elin Stenner-Matthews/,2011-06-08,/years/10_11/hymns/,Chris O'Connell,by Chris O'Connell,by Chris O'Connell,<a href='/years/10_11/hymns/'><img src='https://photos.smugmug.com/photos/i-T7LWdVm/0/ceb2ef6d/128x162/i-T7LWdVm-128x162.jpg' class='search-result-poster-thumb' alt='Hymns poster' /></a>,8-11 June 2011,In House,Hymns,show,New Theatre,2010-11
Ben Cave/Alex Hollingsworth/Elle O'Rorke/,George Bancroft-Livingston/James Saville/Matt Leventhall/Angus MacRae/,2010-11-10,/years/10_11/normal/,Anthony Nielson,by Anthony Nielson,by Anthony Nielson,<a href='/years/10_11/normal/'><img src='https://photos.smugmug.com/photos/i-RdckhKd/0/e2176814/128x162/i-RdckhKd-128x162.jpg' class='search-result-poster-thumb' alt='Normal poster' /></a>,10-13 November 2010,In House,Normal,show,New Theatre,2010-11
James Lewis/Meg Salter/Douggie McMeekin/,Liz Stevenson/Rose Williams/Matt Leventhall/Philip Geller/Vanessa Charters/Philip Geller/Matt Leventhall/,2010-10-27,/years/10_11/orphans/,Dennis Kelly,by Dennis Kelly,by Dennis Kelly,<a href='/years/10_11/orphans/'><img src='https://photos.smugmug.com/photos/i-Dc3nnVZ/0/680307c5/128x162/i-Dc3nnVZ-128x162.jpg' class='search-result-poster-thumb' alt='Orphans poster' /></a>,27-30 October 2010,In House,Orphans,show,New Theatre,2010-11
Tim Watkins/Max Benenson/Freddie Garnett/Jack Hughes/Rosanna Stoker/Will Vickers/Francesca Andrews/Dan Rae-Scott/,Liz Stevenson/James Townsend/Philip Geller/Liz Rose/Robert Leventhall/Philip Geller/Matt Leventhall/Rose Williams/Suzie Roope/Kathryn Feavers/Holly Wicks/Liz Rose/Chris Walters/Aneira Pugh/,2011-05-11,/years/10_11/rope/,Patrick Hamilton,by Patrick Hamilton,by Patrick Hamilton,<a href='/years/10_11/rope/'><img src='https://photos.smugmug.com/photos/i-SDPNDhj/0/f316d70c/128x162/i-SDPNDhj-128x162.jpg' class='search-result-poster-thumb' alt='Rope poster' /></a>,11-14 May 2011,In House,Rope,show,New Theatre,2010-11
Ben Cave/Amy Rushton/,Rebecca Catlin/Liz Rose/James Herbert/,2011-03-23,/years/10_11/smile/,Stephen Lowe,by Stephen Lowe,by Stephen Lowe,<a href='/years/10_11/smile/'><img src='https://photos.smugmug.com/photos/i-gFrFKx5/0/02abc533/128x162/i-gFrFKx5-128x162.jpg' class='search-result-poster-thumb' alt='Smile poster' /></a>,23-26 March 2011,In House,Smile,show,New Theatre,2010-11
NA,NA,2011-02-08,/years/10_11/strictly_come_stars_in_their_eyes_on_ice/,null,Playwright Unknown,Playwright Unknown,<a href='/years/10_11/strictly_come_stars_in_their_eyes_on_ice/'><img src='https://photos.smugmug.com/photos/i-5bzDpqP/0/99ca33b6/128x162/i-5bzDpqP-128x162.jpg' class='search-result-poster-thumb' alt='Strictly Come Stars In Their Eyes On Ice - The Ultimate Spoof poster' /></a>,8-10 February 2011,External,Strictly Come Stars In Their Eyes On Ice - The Ultimate Spoof,show,New Theatre,2010-11
Lawrence Bolton/Phil Damms/Phoebe Fairbrother/Sarah Head/Claire Horn/Tegan Jolly/Kristen McGachey/Dave Porter/Andy Routledge/Fran Rylands/Sophia Stanley/Weston Twardowski/,Cesar Teixeira/Bryony Blackler/,2011-05-04,/years/10_11/the_laramie_project/,Moises Kaufman and the members of Tectonic Theatre Project,by Moises Kaufman and the members of Tectonic Theatre Project,by Moises Kaufman and the members of Tectonic Theatre Project,<a href='/years/10_11/the_laramie_project/'><img src='https://photos.smugmug.com/photos/i-gzmbvML/0/f588c983/128x162/i-gzmbvML-128x162.jpg' class='search-result-poster-thumb' alt='The Laramie Project poster' /></a>,4-7 May 2011,In House,The Laramie Project,show,New Theatre,2010-11
Cressida McGill/Douggie McMeekin/Oliver Margolis/Tom Walsh/,George Bancroft-Livingston/James Saville/Matt Leventhall/Elle O'Rorke/,2011-03-30,/years/10_11/the_lonesome_west/,Martin McDonagh,by Martin McDonagh,by Martin McDonagh,<a href='/years/10_11/the_lonesome_west/'><img src='https://photos.smugmug.com/photos/i-76HdQV4/0/837ce4fa/128x162/i-76HdQV4-128x162.jpg' class='search-result-poster-thumb' alt='The Lonesome West poster' /></a>,30 March-1 April 2011,In House,The Lonesome West,show,New Theatre,2010-11
Weston Twardowski/Simon Peal/Katrina Holloway/Tom Walsh/Fran Rylands/Ben Williamson/Nick Hughes/,Chris Walters/Bora Hunja/Fran Rylands/Matthew Llewellyn/Robert Leventhall/Jenny Mann/Bryony Blackler/,2010-12-01,/years/10_11/the_talented_mr_ripley/,Phyllis Nagy,by Phyllis Nagy,by Phyllis Nagy,<a href='/years/10_11/the_talented_mr_ripley/'><img src='https://photos.smugmug.com/photos/i-bMCccKc/0/5a1d732f/128x162/i-bMCccKc-128x162.jpg' class='search-result-poster-thumb' alt='The Talented Mr Ripley poster' /></a>,1-4 December 2010,In House,The Talented Mr Ripley,show,New Theatre,2010-11
Lucy Bromilow/Meg Salter/,Sophie Reynolds/Nick Rowell/,2011-02-23,/years/10_11/this_wide_night/,Chloe Moss,by Chloe Moss,by Chloe Moss,<a href='/years/10_11/this_wide_night/'><img src='https://photos.smugmug.com/photos/i-R4Dr9fk/0/bb2b806b/128x162/i-R4Dr9fk-128x162.jpg' class='search-result-poster-thumb' alt='This Wide Night poster' /></a>,23-26 February 2011,In House,This Wide Night,show,New Theatre,2010-11
NA,NA,2011-03-02,/years/10_11/vday_2011_any_one_of_us_words_from_prison/,Eve Ensler,by Eve Ensler,by Eve Ensler,<a href='/years/10_11/vday_2011_any_one_of_us_words_from_prison/'><img src='https://photos.smugmug.com/photos/i-DTd57Dk/0/59ce58f0/128x162/i-DTd57Dk-128x162.jpg' class='search-result-poster-thumb' alt='VDAY 2011 - Any One Of UsWords From Prison poster' /></a>,2-3 March 2011,External,VDAY 2011 - Any One Of UsWords From Prison,show,The Den,2010-11
Will Randall/Lucy Bromilow/Eoin Buckley/Cressida McGill/Chris Walters/Alastair Mavor/Meg Salter/Ben Williamson/Chris Read/Lyle Fulton/Carl Alexander/Dave Porter/Dan Hatfield/Greg Link/Rosie Tressler/Laura Cremona/Katrina Holloway/Annelies Baneke/Emily Sendall/Jenny Lake/,Gus Miller/Adna Duherich/Angus MacRae/Laura Kaye Thomson/Sophie Tebbutt/Francesca Andrews/Fran Rylands/Chloe Bridgen/,2011-12-07,/years/11_12/a_midsummer_night_s_dream/,William Shakespeare,by William Shakespeare,by William Shakespeare,<a href='/years/11_12/a_midsummer_night_s_dream/'><img src='https://photos.smugmug.com/photos/i-LQnq62P/0/3ad0a987/128x162/i-LQnq62P-128x162.jpg' class='search-result-poster-thumb' alt='A Midsummer Night's Dream poster' /></a>,7-10 December 2011,In House,A Midsummer Night's Dream,show,New Theatre,2011-12
